"USADailyTime.com, ""Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" kẻ giết người Trump ""của mình"", ngày 17 tháng 3 năm 2017"
"TheLastLineOfDefense.org, ""BREAKING: Snoop Dogg bị bắt vì âm mưu sau khi nói về video"" kẻ giết người ""của mình,"" ngày 14 tháng 3 năm 2017"
"PolitiFact Georgia, ""Không có bằng chứng để ủng hộ tuyên bố về các mối đe dọa chống lại Obama"", ngày 18 tháng 3 năm 2013"
"CNN, ""Trump: Tôi có thể 'bắn ai đó và tôi sẽ không mất cử tri',"" ngày 24 tháng 1 năm 2016"
"TheDailyBeast.com, ""Video Shocking Trump của Marilyn Manson"", ngày 8 tháng 11 năm 2016"
"YouTube, ""Lavender (Nightfall Remix)"", ngày 12 tháng 3 năm 2017"
"TMZ.com, ""Snoop đưa ra một thông điệp nguy hiểm với vụ ám sát Mock,"" ngày 13 tháng 3 năm 2017"
"TheWrap.com, ""Dịch vụ bí mật có mắt của nó trên Snoop Dogg qua Video Với Mock Trump Shooting"", ngày 14 tháng 3 năm 2017"
"Snoop Dogg, video trên Instagram, ngày 15 tháng 3 năm 2017"
"Twitter, Tổng thống Donald Trump tweet, ngày 15 tháng 3 năm 2017"
"New Yorker, ""Cách sửa đổi đầu tiên áp dụng cho chức chủ tịch của Trump,"" ngày 21 tháng 3 năm 2017"
"Văn phòng xuất bản của chính phủ Hoa Kỳ, ""§871. Các mối đe dọa chống lại Chủ tịch và người kế nhiệm của Tổng thống"", được truy cập ngày 23 tháng 3 năm 2017"
"FlashNewsCorner.com, ""BẮT ĐẦU: Mẹ chồng của Obama bị tính phí với Larceny và gian lận"", ngày 17 tháng 3 năm 2017"
"TheLastLineOfDefense.org, ""BREAKING: Mẹ của Obama bị buộc tội với tội lỗi và gian lận,"" ngày 16 tháng 3 năm 2017"
"PolitiFact, ""Tin giả: Bà ngoại Marian Robinson không nhận lương hưu hàng năm 160.000 đô la"", ngày 10 tháng 1 năm 2017"
"USPOLN.com, ""Giá Tom:"" Tốt hơn cho ngân sách của chúng tôi nếu bệnh nhân ung thư chết nhanh hơn "","" ngày 16 tháng 3 năm 2017"
"Politicops.com, ""Tom Price:"" Tốt hơn cho ngân sách của chúng tôi nếu bệnh nhân ung thư chết nhanh hơn "","" ngày 16 tháng 3 năm 2017"
"RawStory.com, ""‘ Chúng tôi không muốn chăm sóc "": Tom Price là người sống sót ung thư do Obamacare lưu,"" ngày 16 tháng 3 năm 2017"
"CNN, ""Thư ký HHS tuyên bố dự luật chăm sóc sức khỏe của GOP là 'tốt hơn rất nhiều' hơn Obamacare,"" ngày 16 tháng 3 năm 2017"
"CBS News, ""Alan Grayson"" Die Quickly 'Bình luận nhắc nhở Uproar, ""ngày 30 tháng 9 năm 2009"
"NotAllowedTo.com, ""Người giữ trẻ trên tinh thể meth ăn em bé 3 tháng tuổi"", ngày 28 tháng 2 năm 2017"
"WorldNewsDailyReport.com, ""Missouri: Người giữ trẻ trên tinh thể meth ăn trẻ mới biết đi 3 tháng tuổi"", ngày 20 tháng 1 năm 2016"
"Fox 59, ""Người phụ nữ Columbus bị bắt giữ vì pin trong nước có mặt trẻ em"", ngày 11 tháng 1 năm 2016"
"TheLastLineOfDefense.org, ""FBI ban hành lệnh bắt giữ của Obama sau khi xác nhận bất hợp pháp Trump Tower Wiretap."""
"RedCountry.us, ""FBI ban hành lệnh bắt giữ cho vụ bắt giữ của Obama sau khi xác nhận bất hợp pháp Trump Tower Wiretap,"" ngày 04 tháng 3."
"PolitiFact, ""Donald Trump đã phát minh ra rằng Barack Obama đã khai thác điện thoại của mình?"", Ngày 6 tháng 3 năm 2017"
"PolitiFact, ""Tại sao Nhà Trắng bảo vệ lời buộc tội Trump là gây hiểu lầm"", ngày 5 tháng 3 năm 2017"
"ConservativeFlashNews.com, ""BREAKING: Rò rỉ hình ảnh của Obama bị kéo trước một thẩm phán bị còng tay vì đã nghe trộm Trump"", ngày 5 tháng 3 năm 2017"
"TheLastLineOfDefense.org, ""BREAKING: Rò rỉ hình ảnh của Obama bị kéo trước khi một thẩm phán trong còng tay cho Wiretapping Trump,"" March 5, 2017"
"PolitiFact, ""Donald Trump đã phát minh ra rằng Barack Obama đã khai thác điện thoại của mình?"", Ngày 6 tháng 3 năm 2017"
"TMZ.com, ""Lời buộc tội của những người tống tiền Letterman bị cáo buộc không phạm tội"", ngày 2 tháng 10 năm 2009"
"UndergroundNewsReport.com, ""Whoopi Goldberg: Góa phụ SEAL Navy"" đang tìm kiếm sự chú ý "", ngày 1 tháng 3 năm 2017"
"Washington Post, ""Nhà Trắng cho biết một cuộc đột kích chết người ở Yemen đã được lên kế hoạch từ lâu tại Washington. Không đúng, nói rằng các quan chức phục vụ Obama."", Ngày 2 tháng 2 năm 2017"
"PolitiFact, ""Báo cáo sai cáo buộc đảng Dân chủ từ chối đứng cho góa phụ Sao vàng"", ngày 01 tháng 3 năm 2017"
"Cuộc phỏng vấn với James McDaniel, quản trị viên UndergroundNewsReport.com, ngày 6 tháng 3 năm 2016"
"UndergroundNewsReport.com, ""Người đàn ông được ân xá bởi Obama 3 tháng trước bị bắt vì tội giết người,"" ngày 28 tháng 2 năm 2017"
"Bộ Tư pháp Hoa Kỳ, ""Những sự tha thứ do Tổng thống Barack Obama (2009-2017) cấp"", được truy cập ngày 6 tháng 3 năm 2017"
"Trung tâm nghiên cứu Pew, ""Obama sử dụng quyền lực khoan dung thường xuyên hơn bất kỳ tổng thống kể từ khi Truman,"" ngày 20 tháng 1 năm 2017"
"PolitiFact, ""Các tham số: Từ tuyên án ma túy đến các giao hoán, Obama thay đổi cảnh quan nhà tù,"" ngày 6 tháng 1 năm 2017"
"JudicialWatch.org, ""Crack Dealer giải phóng sớm theo kế hoạch Obama giết người phụ nữ, 2 trẻ em,"" ngày 2 tháng 3 năm 2016"
"Columbus Dispatch, ""Người đàn ông bị buộc tội giết người phụ nữ, 2 con gái đã được thả tù sớm"", ngày 12 tháng 1 năm 2016"
"Cuộc phỏng vấn với James McDaniel, quản trị viên UndergroundNewsReport.com, ngày 6 tháng 3 năm 2016"
"CannaSOS.com, ""Jimmy Carter:"" Cần sa y tế chữa khỏi bệnh ung thư của tôi "", ngày 8 tháng 12 năm 2015"
